state;capital;state_and_capital
Alabama;Montgomery;Montgomery, Alabama
Alaska;Juneau;Juneau, Alaska
Arizona;Phoenix;Phoenix, Arizona
Arkansas;Little Rock;Little Rock, Arkansas
California;Sacramento;Sacramento, California
Colorado;Denver;Denver, Colorado
Connecticut;Hartford;Hartford, Connecticut
Delaware;Dover;Dover, Delaware
Florida;Tallahassee;Tallahassee, Florida
Georgia;Atlanta;Atlanta, Georgia
Hawaii;Honolulu;Honolulu, Hawaii
Idaho;Boise;Boise, Idaho
Illinois;Springfield;Springfield, Illinois
Indiana;Indianapolis;Indianapolis, Indiana
Iowa;Des Moines;Des Moines, Iowa
Kansas;Topeka;Topeka, Kansas
Kentucky;Frankfort;Frankfort, Kentucky
Louisiana;Baton Rouge;Baton Rouge, Louisiana
Maine;Augusta;Augusta, Maine
Maryland;Annapolis;Annapolis, Maryland
Massachusetts;Boston;Boston, Massachusetts
Michigan;Lansing;Lansing, Michigan
Minnesota;Saint Paul;Saint Paul, Minnesota
Mississippi;Jackson;Jackson, Mississippi
Missouri;Jefferson City;Jefferson City, Missouri
Montana;Helena;Helena, Montana
Nebraska;Lincoln;Lincoln, Nebraska
Nevada;Carson City;Carson City, Nevada
New Hampshire;Concord;Concord, New Hampshire
New Jersey;Trenton;Trenton, New Jersey
New Mexico;Santa Fe;Santa Fe, New Mexico
New York;Albany;Albany, New York
North Carolina;Raleigh;Raleigh, North Carolina
North Dakota;Bismarck;Bismarck, North Dakota
Ohio;Columbus;Columbus, Ohio
Oklahoma;Oklahoma City;Oklahoma City, Oklahoma
Oregon;Salem;Salem, Oregon
Pennsylvania;Harrisburg;Harrisburg, Pennsylvania
Rhode Island;Providence;Providence, Rhode Island
South Carolina;Columbia;Columbia, South Carolina
South Dakota;Pierre;Pierre, South Dakota
Tennessee;Nashville;Nashville, Tennessee
Texas;Austin;Austin, Texas
Utah;Salt Lake City;Salt Lake City, Utah
Vermont;Montpelier;Montpelier, Vermont
Virginia;Richmond;Richmond, Virginia
Washington;Olympia;Olympia, Washington
West Virginia;Charleston;Charleston, West Virginia
Wisconsin;Madison;Madison, Wisconsin
Wyoming;Cheyenne;Cheyenne, Wyoming
